store,title,shortTitle,code,short_desc,description,expiry_date
bigbasket,Kohinoor Biryani Fest: Upto 50% Off on Kohinoor Biryani Range,"50%
OFF",& GET DEAL,,"['Get upto 50% off on Kohinoor Biryani Range of Rice, Spices and Biryani Kits.', 'No coupon code required.']",
Flipkart,Upto 80% Off on Grocery,"80%
OFF",& GET DEAL,,"['Get upto 80% off on grocery.', 'How to avail Deal : 1. Click on Get Deal 2. Purchase discounted products from the landing page.']",
Pizza Hut,Tastiest Pizzas at Rs 99 Each,"PIZZA
@ ₹ 99",& GET DEAL,,"['Orders/deliveries are affected due to nationwide lockdown. Please check Pizza Hut website for more details.', 'Get tastiest pizzas at Rs. 99 each.', 'Offer Applicable on Delivery, Dine-in And Takeaway.']",
Barbeque Nation,Check out the Latest BBQ Nation Events,"GREAT
DEALS",& GET DEAL,,['Explore a wide range of cuisines from different countries with BBQ Nation festivals and events.'],
Zomato,Flat 30% Off on Your Orders,"30%
OFF",TRYNEW,,"['Get flat 30% off upto Rs. 75 on your orders.', 'Minimum order is Rs. 149.', 'Valid only on select restaurants.', 'Use the coupon code to avail the offer.']",
Domino's,Free Garlic Bread on First Three Orders via Domino's App (11 AM to 12 Midnight) (APP- Only),"GARLIC
BREAD FREE",DOMNEW3,,"['Get a free Garlic Bread on your first 3 orders above Rs. 300.', ""Only eligible for users ordering from the Domino's app for the first time."", ""Offer valid via Domino's App only."", 'Use the coupon code to avail the offer.']",
Licious,Chicken Leg Curry Cut (Large - 4 pieces) at Rs. 109,"GREAT
OFFER",& GET DEAL,,"['Get Chicken Leg Curry Cut (Large - 4 pieces) at Rs. 109.', 'How to avail Deal : 1. Click on Get Deal 2. Purchase discounted products from the landing page.']",
bigbasket,"BB Star Members Exclusive: Free Deliveries, Cashbacks, Offers and Discounts from Popular Banks","FREE
DELIVERY",& GET DEAL,,"['Free Deliveries, Cashbacks, Offers and Discounts from Popular Banks exclusively for BB Star members.', 'Valid for New & existing user.', 'Applicable on all payment methods.', 'How to avail Deal : 1. Click on Shop Now or Get Deal 2. Purchase discounted products from the landing page.']",
MOJO Pizza - 2X Toppings,Flat 25% Off on Orders of Rs. 400 & above,"25%
OFF",PZ25,,"['Get flat 25% off on orders of Rs. 400 & above.', 'Use coupon code to avail the offer.']",
Domino's,Domino's Meals & Combos Starting Rs. 199,"ORDER
PIZZA",& GET DEAL,,"[""Order Domino's Meals & Combos Starting Rs. 199."", 'No coupon code required.']",
OvenStory,50% Off on orders above Rs. 249,"50%
OFF",CDOVE,,"['Get 50% off on orders above Rs 249.', 'Max discount is Rs. 125.', 'Offer valid only on online orders placed via www.ovenstory.in or Ovenstory iOS/android app.', 'Offer not valid on existing offer collections, select combos, beverages and MRP products.', 'Offer valid only till 30th September, 2021.', 'The offer is applicable to Pan India Cities.']",
Grofers,Stay Home April Sale: 3 Gifts on Every Order of Min Rs. 1800,"FREE
GIFT",& GET DEAL,,['Get 3 Gifts on Every Order of Min Rs. 1800.'],
